id_cnpj,cd_cnae_prin,BASE,Atividade,Setor,uf,sacado_indice_liquidez_1m,cedente_indice_liquidez_1m,score_materialidade_evolucao,media_atraso_dias,indicador_liquidez_quantitativo_3m,share_vl_inad_pag_bol_6_a_15d,score_quantidade_v2,score_materialidade_v2
0ffae20372d7dbadca7a2d1da760b936b6f12583fcd6f18237ab1c94996861fa,4744005,47,Varejo,Comércio,DF,924.083.460.665.787,3.404.276.519.799.010,945,########,950,46,976,988
f36443debb92aad96bef88801c40b21a8f7d411b9b731bd3e7a4b6d3f378b521,4781400,47,Varejo,Comércio,SC,8.400.781.794.389.540,,874,151.500,860,0,884,986
3b930aa604bedf667404335718dabc3f9174521895bd1f4e9e019bd606490396,4613300,46,Atacado,Comércio,SP,999.740.597.171.773,996.558.742.099.104,927,141.000,910,0,957,988
d44ae5e0dd1de3f2b63befb110c2970ceea09e17da219a5eb28ed5ee3c004022,1012103,10,Fabricação de produtos alimentícios,Indústria,PR,9.129.351.463.146.030,9.326.210.031.081.390,925,178.175,910,13.281,957,987
33a0d4593b50149963bf35176259c41930c8bc04a8db576086a38749b8812a20,7810800,78,Recursos humanos,Serviços,PE,19.989.851.554.639.500,1.000,165,106.000,710,30.373,154,965
40b380ed2d542362eb78337988d87b82832db28a12c797753c9465d0e849299b,4781400,47,Varejo,Comércio,MA,9.829.789.838.824.040,,897,163.000,930,0,975,988
31cd4b1c3b014d02dbbba7beae01fa32b67aa7b5447ecb58ac7f36bc771cda49,1053800,10,Fabricação de produtos alimentícios,Indústria,SP,1.000,,948,278.000,910,0,935,987
092afd04034f4c14909992fb2c9261c4346f61c618d70c770bbbbf19805044e6,1412601,14,Vestuário,Indústria,MG,9.804.357.256.101.660,,927,190.800,970,0,982,988
6ad68644b26f6ea0ebf949e0d5f92ff499007735ae71b29a82e25135ea2191f5,6550200,65,Seguros,Serviços,RJ,20.101.258.739.255.200,3.011.521.327.728.820,143,########,450,6.848,108,914
a3bee15f32ed002ff07a92e592c0f508a06de8bafc8da60a70b5f55692481d91,2532201,25,Produtos de metal,Indústria,ES,9.807.650.858.709.820,,653,190.750,680,0,951,988
ebf9e1e19c444dfbba10eab80b4e7b507dbd3610df0daafe2d98ee1a16bb2cca,1041400,10,Fabricação de produtos alimentícios,Indústria,MT,2.315.080.996.652.020,,570,########,750,45,980,988
cf03b2de4cfaa12e319bdb8224521b7ec4829834ad3c0d52c04cc4d7cd22b16f,4541206,45,Veículos,Comércio,GO,4.329.544.198.263.550,,670,########,960,55.114,599,982
0397be76b44c0cd77d6801abc4a723fca950512982bd9589eae82b1ea00b7269,2071100,20,Produtos químicos,Indústria,SP,9.990.748.980.901.190,1.000,903,########,960,0,961,989
509a9f43fe83bc217346f432a8f4aaa1845040015d6243bd6b85eaf70126bb00,2342701,23,Minerais não metálicos,Indústria,BA,3.446.728.778.200.560,7.486.568.548.196.000,91,########,330,2.944,48,709
